id,메뉴,아이디,text,양,배달
11,굽고뒤집고,h_s****,"비도오고 그렇고해서 전카페를 찾던 중.. 이 가게를 알게되어었고 그래서 리뷰도 좋고해서 가봤지요..센스있는 음악도 좋고 실내도 깨끗하고 ~~분위기 등등 합격 옆 테이블에 모듬 전이랑 국수 시켜드시길래..우리도 막걸리에 모듬전..국수를 시켜서 순삭하고..동그랑땡, 동태전,김치전까지 ..4명이 이렇게 많이 먹음~ 동그랑땡은 육즙이 팡팡~.동태전은 부들부들..모든 전이 진짜 깔끔하고 맛있어요..조만간 또 생각 나~~재방문할께요^^.",5.6.토,1
12,굽고뒤집고,yoo****,전에 술한잔하고싶어서 알아보다가 바로 뜨길래 가봤는데 진짜 전 너무 맛있더라구요...저희할머니가 해주신줄 알았어요 ㅋㅋㅋㅋㅋ 양도 많고 분위기도 좋아서 술이 술술 들어가더라구요 감사합니다??,4.25.화,1
13,굽고뒤집고,우닝야,친구들이랑 막걸리에 전 먹으러 갔습니다~ 음식도 다양하고 종류도 엄청 많네요 덕분에 막걸리 시원하게 마셨메요~ 음식도 맛있고 사장님도 친절 하셔서 기분이 좋았습니다 앞으로 자주갈게요~,4.25.화,1
14,굽고뒤집고,xo1vlf,맛도 양도 종류도 ㅉㅉㅉ,5.25.목,1
15,굽고뒤집고,민트몽쮸,친구랑 퇴근하구 전에 막걸리 먹고싶어서 네이버에 검색하다가 리뷰 좋아서 갔는데 전 ㄹㅇ 존맛탱이에여ㅠㅠ?? 막걸리도 맛있구 사장님도 친절하셔서 자주 올 거 같아요!♥?,4.25.화,1
16,굽고뒤집고,hyoj,"제사 때문에 주문했어요~ 바빠서 사진을 못남긴게 아쉽지만, 제사전이라 더 신경써주신게 느껴졌어요. 친절하시고 맛도 좋아서 다음 주문때도 이용하려고요^^ 감사합니다~ 번창하세여!!",5.14.일,1
17,굽고뒤집고,ksk****,전이 좀 더 바싹하면 좋을거같아요 친절하시고 맛있어요 모듬전 먹어보러 갈게요!,5.6.토,1
18,굽고뒤집고,ericyj0,2차 집으로 딱입니다,5.21.일,1
19,굽고뒤집고,사랑담은향기,전이 맛있어요,4.25.화,1
20,굽고뒤집고,Smallgaint,흐린날씨에 기름진 전에 막걸리가 땡겨서 호다닥 왔습니다 리뷰도 좋아서 가봤는데 맛 좋네요 동네 전집 기가막힌곳 생겨서 아주좋습니다 혼자가서 기분좋게 배불리 먹고 가요~^^,4.25.화,1
21,굽고뒤집고,kys****,고추전반 깻잎전반 맛있어요,6.29.목,1
22,굽고뒤집고,창모창모,주말에 가족과 산책 중 들러서 모듬전에 막걸리 마셨어요. 집 근처에 전집이 오픈해서 반갑고 좋네요. 사장님 친절하시고 음식도 맛있게 잘 먹었어요. 비오는 날에는 꼭 들러야 겠어요. 재방문 의사 있어요.,4.22.토,1
23,굽고뒤집고,kim10217351,,5.30.화,1
24,굽고뒤집고,리안87,좋아요,8.2.수,1
25,굽고뒤집고,Monica Park17,굿,8.2.수,1
26,굽고뒤집고,티나는티나,정말.......할말하않 입니다;;;;;,5.28.일,1
27,굽고뒤집고,hothotsummer,전 맛있었어요~~!!,5.14.일,1
28,굽고뒤집고,찡찡궁,전에 막걸리땡겨서 주변에새로 생겼길래 가봤는데 진짜 너무너무 맛있더라구요 사장님도 너무너무 친절하시고 전이 너무 맛있다 보니까 막걸리가 술술 들어가서 정말 놀랐습니다 번창하세요 사장님~~~,4.27.목,1
29,굽고뒤집고,닝닝47,귿,5.31.수,1
30,굽고뒤집고,kss****,조아요,5.5.금,1
1,청화원,몽다,"수정달만두 쫀득 촉촉하니 넘 맛있네요ㅎㅎ 우육면은 도삭면이라 식감이 수제비 먹는 듯 재밌었어요ㅎ 어향육슬덮밥은 호불호없을 덮밥인듯 합니다 ?? 간이 자극적이지않고, 고기와 마늘쫑이 잘 어우러져서 맛있었어요 ?? 밥이 많을줄 알고 조금씩 조금씩 비볐는데 처음부터 한번에 다 비벼서 먹어도 될듯 해요! 덮밥 취향에 딱 맞아서 다음에 간다면 또 주문할것 같네요ㅎㅎ",9.9.토,1
2,청화원,맛토리,우육면 딤섬 어향가지덮밥 다 맛있어요 가격도 저렴해서 추천합니다!! 우육면 국물도 구수하고 특히 딤섬이 미쳤어용..수정달만두랑 쇼마이는 꼭 드셔주시고 어향가지튀김도 jmt이니 꼭 드셔보세요>_<,9.3.일,1
3,청화원,xoXo,우육도삭면 면발 진짜 끝내줘요! 국물 감칠맛도 좋고 끝은 살짝 개운한 게 정말 맛있더라구요! 바로 쪄서 나오는 딤섬은 세가지 모두 먹어봤는데 수정달만두가 진짜 맛있었구요! 요리 메뉴 중에는 가지튀김이 최고! 중화풍으로 요리 된 소고기볶음밥이랑 같이 먹으면 정말 환상의 궁합이네요!,9.3.일,1
4,청화원,바틀비01,도삭면이 쫄깃하고 맛나요. 딤섬도 새우와 부추가 들어있고 육즙이 터지는 맛이라 좋네요. 유발은 비빔면인데 매콤하면서 맛나고 우육면도 국물이 맛있어요. 양이 푸짐하구요. 꿔바로우도 바삭바삭하니 맛있어요. 전체적으로 요리급의 맛이라 좋아요.ㅋㅋ,8.26.토,1
5,청화원,이제이2jjj2j,일단 만두는 꼭 먹기! 쫄깃하고 속이 꽉차서 새우살이 탱글탱글. 아 면도! 도삭면이라 쫄깃함이 일품이에요 가지튀김은 맥주 생각나는 맛 가지러버들 꼭 드세요! 현지주방장님께서 요리솜씨가 미쳤거든요~~ 매장 직원분들도 너무 친절해요,9.5.화,2
6,청화원,Jelly Jelly,"우육면 맛집이지만 다른 메뉴도 넘 맛있는 곳!! 이번에는 우육면 말고 어향육슬덮밥, 꿔바로우 메인으로 시켜봤는데 진짜 맛있네요! 특히 어향육슬 양념도 맛나고 고기도 진짜 많아서 탄단지 펄펙ㅋㅋ 그리고 꿔바로우 마지막까지 쫄깃 바삭 대박입니다. 딤섬류는 수정달만두가 맛나서 또 시켰어요. 안에 새우살이 덩어리로 들어가 있어서 맛나요??",8.27.일,1
7,청화원,룰루랄라JS,"딤섬이 먹고 싶어서 방문한 곳! 쇼마이와 쇼롱포 시켰는데, 갓 쪄서 나와 따끈하고 육즙 장난 아니었어요. 기대 이상으로 맛있네요^^ 새우볶음밥도 삼삼해서 자극적이지 않게 먹기 좋았고, 꿔바로우는 새콤한 맛이 괜찮았답니다. 대학로에서 식사하기 좋은 곳이에요.",9.2.토,1
8,청화원,yun****,딤섬이랑 볶음밥 볶음면 모두 맛있었어요!! 유육탕면 먹고싶어서 왓는데 메뉴가 다양하고 맛있어보이는게 정말 많아서 뭐먹을지 고민하다가 결국 우육탕면을 안시켰네요ㅋㅋㅋ 담엔 우육탕면 먹으러 올게요! 맛나게 먹었습니다! 혜화역 데이트하러 올 때 오기 좋은 곳 같아여!,8.22.화,1
9,청화원,우리의우주,"평소 대만음식을 좋아합니다. 대만에서 우육탕면을 워낙 맛있게 먹어서 어느 정도 기대를 안고 방문했어요. 매장 외관과 달리 내부는 솔직히 관리가 안되어 있는 매장 같아요. 메인 메뉴인 우육도삭면을 주문했는데 진한 국물이 너무 맛있었습니다. 소고기도 진한 국물 소스에 잘 어우러져 맛있게 먹을 수 있었습니다. 도삭면 특성상 우리나라 두꺼운 면 칼국수라 솔직히 제 스타일 면이 아니지만, 국물이 맛있어서 면이 제 스타일이 아니더라도 커버를 해주네요. 국물이 맛있어서 공깃밥을 추가로 주문했네요.^^ 음식 메뉴들이 맛있어서 다른 메뉴도 주문해보고 싶다는 생각을 했어요^^",8.12.토,1
10,청화원,인프재히,"혜화역에서 친구 만났다가 방문한 곳인데, 음식도 다 너무 입맛에 잘맞고 직원분들도 엄청 친절하셨어요!! 나중에 혜화쪽 들르면 또 찾을 것 같아요:)",9.7.목,1
11,청화원,데이바이75,대학로를 그렇게 오가면서 3출 쪽 갈 생각을 못했는데 너무 맛있어요. 특히 제 픽은 꿔바로우 입이다. 꿔바로우의 바삭함은 제가 지금까지 먹었던 꿔바로우와 비교가 안돼. 그리고 딤섬도 속이 꽉 차서 너무 맛있었어요. 흐흐흐흐. 이러고 또 지인 홀라당 꼬셔서 자둘 했습니다. 이날은 맥주 못 마시고 담날 맥주 마시러 갔어요. 흐흐. 진짜 꿔바로우....난 배가 찼는데 그래도 꿔바로우 하나 들어갈 배는 있잖아요. 꼭 먹어줘라. 바삭하고 달고 짜고 짱입니다.,9.8.금,1
12,청화원,selene6,모든 메뉴가 맛있어요! 꿔바로우는 양이 많아서 남은 거 포장도 해주셨어요 ㅎㅎ 샤오롱바오 파는 곳 별로 없는데 좋네요! 수정달만두 쫄깃하고 좋아요!!,9.17.일,1
13,청화원,cherry on top,현지인 요리사분이 있어서인지 굉장히 맛있어요 비주얼도 좋고 맛있어서 대만족!!! 대학로 공연보러왔다가 먹었는데 또 방문할게요~,9.16.토,1
14,청화원,호위무사1,딸이 좋아하는 메뉴 중 오늘은 우육도삭면과 뀌바로우를 먹었어요. 우육도삭면은 처음인지라 향때문에 맛이 별로라고 하다가 계속 국물을 먹게 되더라구요. ㅎㅎ 다음에도 먹을것 같아요. 꿔바로우는 달콤새콤한 소스에 맛있었어요. 1층보다 2층에서 식사하시는것이 더 편해요. 핸드폰 충전기도 준비되어 있구요~ 다만 화장실이 조금 불편해요.,8.13.일,1
15,청화원,J청년J,전반적으로 메뉴의 가격들이 정말 착해서 뭘 시켜도 가성비는 보장이 된 것 같아요?? 음식이 나오는 속도도 엄청 빨리서 밥 먹을때도 넘 좋았습니다??직원분들도 친절하시고 엄청 빠르게 다니셔서 대단하다고 느꼈어요?? 도삭면은 당연히 넘 맛있고 꿔바로우도 다른 곳에서 느끼기 어려운 현지의 맛 그대로를 보여주고 있으니 꼭 시켜서 드셔보세요??,7.29.토,1
16,청화원,jis****,청화원 메뉴 다 성공적! 남자친구랑 대학로 데이트 다녀왔는데 아주 만족스럽습니다 ㅎㅎㅎ 일단 우육면 안 고기 진짜 부들부들하구여 샤오롱바오도 육즙 잘 가둬서 나와요! 크림새우 진짜 알 오동통하고 양도 많음! 다음에 또 올게요 사장님,8.16.수,1
17,청화원,파지티브파니,유발도삭면 추천이용! 가지볶음도 진짜 맛있고 맥주랑 잘 어울렸어요. 유발도삭면은 좀 자극적인 편이라 크림새우랑도 잘 어울릴 것 같네용. 맛있게 잘 먹었습니다!,8.24.목,1
18,청화원,키무다이어리,"청화원은 우육면만 먹어봤지만, 요리도 괜춘하네요! 유린기는 역시 맛있구요. 쇼롱포와 쇼마이 딤섬은 처음 먹어봤는데 맥주 안주로 딱이네요.",8.16.수,1
19,청화원,키르555,우육면은 고기가 부드럽고 면은 쫄깃했어요! 일단 국물이 너무 맛있어서 강추해요! 소룡포는 아시다시피 육즙 터지는게 너무 맛있었고 꿔바로우는 바삭바삭하고 소스도 맛있었어요!,9.18.월,1
20,청화원,agaC,"유발도삭면 진짜 매일 먹고싶은 맛이에요…. 수정달만두 넘 맛있고 가지튀김 미쳤어요?;´?? ? ??? 청화원 걍 믿고 먹는 중식당 삼기로 맘먹었자나요,,,",8.25.금,1
21,청화원,권귤79,가지튀김 안먹으면 울거예요ㅠㅠㅠㅠ 진짜 제 인생 가지튀김 가지의ㅜ물렁한맛 거의없고 바삭하고 새콤달콤해요 그리고 우육면 도삭면이라 진짜 쫄깃하구요 그 위에 고기도 엄청 부드러움!!! 두개는 진짜 필수!!,8.8.화,1
22,청화원,로드포유,"좌석에서 태블릿 주문시스템 좋아요 어향가지덮밥 8,500원 우육도삭면 9,500원 맛있어요",8.27.일,1
23,청화원,도니네,"대학로 청화원에서 우육도삭면, 어향가지덮밥, 쇼마이 먹고 왔어요. 맛있네요.",8.26.토,1
24,청화원,minny민찡,"유발도삭면 식감이 쫄깃하고, 생각보다 많이 맵지 않아서 맛있게 먹었어요~ 가지튀김 진짜 맛있어요!! 겉바속촉?? 수정달만두는 만두피가 쫄깃도톰한데 부추향이 진짜 풍부합니당 깔끔하고 가격대도 적당해서 추천해요!",6.28.수,1
25,청화원,아수라73,양이 많아서 두명이서 이렇게 주문하고 다 못먹을 정도로 양이 많았어여~ 도삭면이라 면이 탱글탱글하네여 잘먹었습니다,9.2.토,1
26,청화원,카라5041,우육도삭면에 고기가 야들야들이 하늘을 뚫어서 입에서 살살 녹아요. 수정달만두는 부추새우만두 생각하시면 될듯. 가지튀김은 골튼타임 놓쳐서 바삭함을 즐기지 못햐서 아숩네유ㅠㅠ,8.31.목,1
27,청화원,딸기맛프로틴1,진짜 넘 맛있게먹었어요!!ㅎㅎ 현지인이 직접 요리하셔서 현지 요리 느낌을 먹고싶으신분들 강추!,8.15.화,1
28,청화원,뮤지컬보는세이지,꿔바로우랑 만두류가 진짜 괜찮아요. 대학로에서 샤오롱바오 파는 곳은 제가 아는 바로는 여기가 유일할듯 찜통에 잘 들러붙지도 않아서 육수까지 즐기기 딱 좋아요. 그리고 우육도삭면 비빔도 생각보다 맛있으니 참고하세요 동생이랑 식사할 일 생겨서 감만에 방문했는데 만족했습니다,6.3.토,1
29,청화원,GNKMW,색다른 인테리어와 색다른 맛!,9.5.화,1
30,청화원,히로비127,이색적인 메뉴라서 인상적이네요~,9.2.토,1
31,청화원,kkkkkkb,우육면 처음 먹어봤는데 향신료 맛 걱정없이 먹을수 있는 맛이었어요! 꿔바로우도 새콤쫀득하고 맛있어요. 대학로에서 혼밥하기에도 가성비 좋은 곳이에요!,9.3.일,1
32,청화원,힘이93,넘넘 맛있는 대학로 우육면 & 딤섬 맛집 ?? 그런데 이제 크림새우가 JMT인... 메뉴들이 다 넘 맛있어서 잘 먹고 왔습니당 ????,9.9.토,1
33,청화원,cyzhwkd,꿔바로우 진짜 맛있어요 굿,8.15.화,1
34,청화원,아니듀,진짜 만족스럽고 맛있었던 우육면과 꿔바로우. 저는 꿔바로우를 진짜 좋아하는데 진짜 최고로 맘에들어요,7.22.토,1
35,청화원,ing****,메뉴가 다양해서 좋아요. 우육도삭면이랑 크림새우 맛있었습니다.! 특별한 이국적인 음식이 땡길 때 혜화역 맛집 대학로 데이트 코스로 좋습니다 ㅎㅎ,7.8.토,1
36,청화원,sm07602,너무맛있게잘먹고갑니다!! 진짜맛집인정이예요 ?? ??,8.2.수,1
37,청화원,pcj****,"혜화동맛집, 친구들이랑 찐맛집 찾았다고 넘 만족했던 '청화원' 꿔바로우 특히 맛있었어요. 최근 먹어본 곳중에 최고♡ 접근성도 좋고, 주문한 메뉴 모두 만족스러웠습니다!!",6.23.금,1
38,청화원,sih****,아이랑 어린이과학관 갔다가 들렸어요 배가고파서 넘나 맛나게 먹었어요~ 딸아이랑 대학로 데이트도 즐건시간이였어요,7.22.토,3
39,청화원,amy****,꿔바로우랑 우육도삭면 다 맛있었고 매장분위기도 깔끔하니 좋았어요. 여자 둘이라 더 많이 못먹고 왔는데 담에 못먹어본 음식 먹으러 다시 갈거에요. 저녁에 맛있는 음식에 술 한잔 하기에도 괜찮아보여요.,8.4.금,1
40,청화원,최소은98,면이랑 만두가 진짜 맛있어요?? 중독적인맛,7.29.토,1
41,청화원,나는나야2534,입맛마다 다르지만 우육면 내입맛엔.. 음 ... 샤오롱바오 음.. 걍 맛잇지도 맛음찌도 않은 .. 대신 위생에 신경을좀써야할듯 2층 안쪽 끝자리에서 먹엇는데 자리바로옆에 테블정리한후 남은 음식을 트레이뉘에 모아두고 왓다갓다 바로옆에서 음식먹는 손님은 생각안하시나여! 재방문은 안합니다,7.22.토,1
42,청화원,missrullu,매장 분위기 깔끔하고 음식도 맛있었어요 우육도삭면에 소고기 엄청크고 많이들어있어서 진짜 배터지는줄ㅋ 쇼마이도 맛있고 꿔바로우 엄청바삭했어요^^,6.6.화,1
43,청화원,써니연,대학로cgv바로옆이고 내부도 예쁘고 딤섬. 꿔바로우 둘다맛좋더라구요 육즙이풍부하고 추천할만합니당,6.30.금,1
44,청화원,씨앗4183,우육면 딤섬 맛집~ 먹어보면 바로 인정하게 되네요 음식 하나하나 정말 맛있어서 감탄하면서 먹었어요 ㅎㅎ 매장도 깔끔하고 편안하게 먹기좋은 분위기였습니다 :),6.11.일,1
45,청화원,송이33123,딤섬이 가격은 사악하지만 맛있어요. ㅠ,7.23.일,1
46,청화원,kelly6580,너무 친절하시고 맛있어요 . 만두 모든 종류가 다 맛있고 양이 진짜 많아요! 잘 먹고 갑니다 ??,6.17.토,1
47,청화원,dan****,우육면이랑 꿔바로우 조합이 정말 맛있습니다 꿔바로우가 특히 찹쌀 반죽이 예술이에요 꼭 드셔보세요,9.3.일,1
48,청화원,횬짱21,리뷰 귀찮아서 안쓰는데 먹다가 너무 맛있어서 도중에 사진찍었어요! 대만음식 그리워서 일부러 찾아왔는데 너무 맛있게 먹었어요! 직원분들 불친절하다는 리뷰 봤는데 전혀~~ 너무 친절하시고 또 오고 싶내요^^,4.16.일,1
49,청화원,Hennie,대학로에 꽤나 그럴듯해보이는 음식점이 있어서 방문해보았다. 혼밥하기 좋고 자리에서 태블릿 같은 걸 통해 주문할 수 있어 편리했다. 그러나 가장 중요한 맛은 실망했고 솔직히 그저그렇다. 그냥 카페테리아 수준이라 할 수 있겠다. 중국에서 홍샤오가지튀김 먹고 신세계를 경험해서 한국에서도 평 좋은 중식당을 들르면 꼭 시키는 요리가 되었다. 왠만하면 실패 안하는 요린데 기대치보다 못했고 너무 시다.... 유발도삭면 역시 고기는 몇 조각이고 양념이 너무 짜다.... 시판양념인가...이후 다른 평 좋은 중화요리점에서 비교를 위해 우육면을 다시 시켜봤는데 역시 이 집의 퀄리티가 별로였다. 엄청 빨리 나오던데 속도에 치중하지말고 정성들여 맛 연구 좀 더하시기를.....재방문은 안하겠다.,8.4.금,1
50,청화원,이히링당,딤섬이 너무 맛있어여,9.11.월,1
51,청화원,씬이야,우육면이 정말 맛있오요~. 연극보고 먹으러 가기 좋았답니당 ㅎㅎ,8.6.일,1
52,청화원,제이니51,열번은 온거같네요. 항상 새우쇼마이랑 수주육펀 먹는데 오늘 처음으로 가지튀김 먹었는데 미쳤어요 너무 맛있어 ㅠㅠ직원분도 너무 친절하셔요,6.28.수,1
53,청화원,kimbacks,테이블이 작은 건 아쉽지만 맛있어요!,6.28.수,1
54,청화원,무네,유발도삭면 자꾸 생각나는 맛이에요 :) 면도 쫄깃하고 또 먹으러 갈게요!,8.4.금,1
55,청화원,세상맛선생,혜화역 대학로에 있는 우육면 맛집이네요 대만에서 먹어본 우육면과 딤섬을 서울에서 먹을수 있어 좋네요,6.6.화,1
56,청화원,가든김,대만(?)분이 운영하능 곳 주문은 테이블에서 테블릿으로 하면 되지만 결제는 나가면서 해야함 화장실은 좁고 더러워서 웬만하면 안가는게 좋음,8.14.월,1
57,청화원,알라뷰AJH,첨 방문했는데 진짜 맛있었어요!! 딤섬도 맛있고 진짜 해외온 기분도 나더라구요~~ 전 메뉴 다 맛있고 후회 안함요!! 가성비도 갑이도 부담없이 맛있게 먹었습니다 특히나 가지요리도 예술 !!,7.23.일,1
58,청화원,e졔,우육면 마싯어용,8.29.화,1
59,청화원,wari,음식 금방 나오고 직원분들 친절하세요! 무엇보다 맛있네요! 연극 보기 전에 시간이 많이 없어 고민하다가 들어갔는데 만족했습니다.,7.21.금,1
60,청화원,곰고기,양 많고 맛있는 요리에 심쿵하고 갑니다..... 직원분들도 친절하셔서 기분 좋은 식사 할 수 있었어요 ㅎㅎㅎ,6.27.화,1
61,청화원,키득키득8612,딤섬만 3개를 시켰는데 가격도 저렴하고 배터지게 먹었어요?? 도삭면도 꼭 시키세요!,6.24.토,1
62,청화원,박핑거,볶음밥이랑 가지튀김 너무너무 맛있어요. 특히 가지튀김은 최고였어요. 대학로 갔을때 가끔 가고 싶은 곳이예요!,6.17.토,1
63,청화원,번개호,우육도삭면과만두 맛있어요 추천합니다,5.17.수,1
64,청화원,gmy****,맛있어요~ 다음에 또 와야지~^^,6.18.일,1
65,청화원,무지개8936,"맵지 않으면서도 시원한 국물 맛의 우육도삭면, 딤섬도 맛이 좋았습니다. 꿔바로우도 바삭해서 씹는 느낌이 좋았구요.",8.20.일,1
66,청화원,Mauvaissang,"날도 갑자기 추워지고 뜨뜻한 국물이 당겨 ‘대만식 우육탕면’이라 쓰인 외부 광고를 보고 들어갔는데, 우육탕면이 가장 별로였던 희한한 가게다. 오히려 비빔면이 괜찮았다. 볶음밥은 맛은 있되 기름지고 소룡포는 육즙에 육향이 사라진 희한한 맛이었다.",3.12.일,1
67,청화원,ㅣ바람ㅣ,친절하고 메뉴가 다 맛있어요~!,6.26.월,1
68,청화원,Ryu73,우육도삭면 먹었어요 마라탕 느낌과 조금 비슷한 국물맛이면서 면발이 수제비처럼 두툼하고 씹는맛이 특색있어요 쇼마이 샤오롱바오 등 사이드도 다양하니 여러명 함께 간다면 이것저것 시켜먹으면 좋을듯해요,7.11.화,1
69,청화원,우경비,말로만 들어봤던 도삭면! 촉촉한 소룡포!,5.12.금,1
70,청화원,밥263,우육면이랑 딤섬 맛있어요!,8.24.목,1
71,청화원,현니61,어향가지볶음밥먹었어요~ 좀 달긴했는데 양도 많고 혼밥하기 좋습니다,6.15.목,1
72,청화원,3st****,이색적인 대만음식을 맛볼수있었어요 도삭면 진짜 쫀득하고 쇼롱포오는 육즙이 굿,4.2.일,1
73,청화원,찬찬니,비오는 날 국물 있는 음식이 먹고싶어 우연히 들어가게 된 식당이었는데 맛있고 양도 많았습니다~!!??,4.11.화,1
74,청화원,보리포,너무 맛있게 잘먹었습니다~,4.22.토,1
75,청화원,띠뚜띠뚜,"먹기 전에 이 리뷰 반드시 보세요 1. 여기서 먹은 게 첫 끼였는데 먹고 친구랑 하루종일 배가 꾸륵거렸음 여기 결제하면 상호명이 ""희래식당""으로 뜸 뉴스 검색 추천 2. 음식이 적어도 20분은 기다려야 하나씩 나옴 너무 오래 걸려서 다 먹고 가만히 앉아 있었음 우육면 다먹을쯤 볶음밥나오고 볶음밥 다먹어가면 칠리새우가 나왔음. 3.웃긴건 우리테이블은 우육면먹고 멍때리는데 한참 늦게온 옆테이블은 면요리에 꿔바로우까지 나와서 해피타임 즐기고있음 4. 주문 누락 됐냐고 물어보니 아니라면서 다른 테이블에서 결제한 영수증을 우리쪽에 붙여둠 못 봤으면 그대로 눈탱이 당할 뻔",3.18.토,1
76,청화원,145670,안좋은리뷰 사장님 생각해서 절대 안 올리는데 너무 짬. 재방문의사 없음. 소룡포는 먹을만함. 도삭면은 …,5.11.목,1
77,청화원,헬리닥터,배루르고 딤섬 맛남,6.30.금,1
78,청화원,아유72,쇼롱포오 진짜맛나요 쇼마이는 살짝 느끼한점도있어요,6.11.일,1
79,청화원,AmelieYoon,,7.20.목,1
80,청화원,손님1023,좋아요~ 저녁 맛있게 먹었어요.,3.27.월,1
81,청화원,eyk****,굿,7.20.목,1
82,청화원,카카두국립공원,오랜만에 우육면 먹었는데 김치맛이 나네요ㅋ,4.7.금,1
83,청화원,김선생212,전체적으로 맛있어용!!ㅎㅎ늦은 점심 먹고 왔는데 맛있게 잘 먹었습니다?????? 소룡포 육즙쩔어여!!!!강추,3.25.토,1
84,청화원,신이빚은몸,요리가 맛있어요,8.9.수,1
85,청화원,축복이맘43,"우연히 지나가다가 우육면 들른곳이예요 ㅎㅎ 우육도삭면, 유발도삭면(볶음면) 시켰는데 기대반 걱정반이던 볶음면이 훨씬 맛있었어요 ㅎㅎ 점심시간이라 혼밥하시는 분들 많고 유학생분들 많으시더라구요~ㅎㅎ",1.18.수,1
86,청화원,oReAo,,7.4.화,1
87,청화원,lja****,색다른 음식을 접했어요 딤썸도 면도 맛있게 잘 먹었습니다 맛 좋았습니다 다음에 재방문 하겠습니다,3.25.토,1
88,청화원,동글동글애플,만두 맛있어요,9.19.화,1
89,청화원,syk****,음식 맛있었도 주위에서 흔히 먹을 수 없던 도삭면을 먹었네요. 식감이 정말 맘에 듭니다,2.9.목,1
90,청화원,크릭서스89,유발도삭면 있었지만 양이 너무 적어서 가성비 좋지 못하다는 생각이 많이 들었네요 먹으면서 재료좀 생각하면서 집에서 만들어 먹으면 좋겠다라는 생각을 했습니다,2.15.수,1
91,청화원,랭랭쓰,정말 맛있게 잘 먹었어요 특히 꿔바로우 바삭하고 따뜻해서 좋더라구요,3.5.일,1
92,청화원,쿠흥읗,중국보다는 대만식 느낌의 음식,5.21.일,1
93,청화원,성북동오리,양이 푸짐해서 완전 배부르게 먹었어요~~,5.18.목,1
94,청화원,헤이푸,도삭면 처음 먹어봤는데 든든하니 좋았어요. 쇼마이도 맛있었고요! 직원호출 2번 했지만 한번도 안 오셨는걸요....?ㅎㅎㅎ,2.12.일,1
