ㅁㄴ,메뉴,아이디,배당,양,text,text2
11,시카노이에,아보카도명란마요밥,경복궁역7번 출구에서688m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 주차 무선 인터넷 남/녀 화장실 구분,(점심식사)11:00-3:00 (브레이크타임) 3:00-5:00 (저녁식사)5:00-9:00 라스트오더 8시
12,시카노이에,드라이카레,경복궁역7번 출구에서688m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 주차 무선 인터넷 남/녀 화장실 구분,(점심식사)11:00-3:00 (브레이크타임) 3:00-5:00 (저녁식사)5:00-9:00 라스트오더 8시
13,시카노이에,코코넛새우커리,경복궁역7번 출구에서688m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 주차 무선 인터넷 남/녀 화장실 구분,(점심식사)11:00-3:00 (브레이크타임) 3:00-5:00 (저녁식사)5:00-9:00 라스트오더 8시
14,시카노이에,소고기스끼야끼,경복궁역7번 출구에서688m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 주차 무선 인터넷 남/녀 화장실 구분,(점심식사)11:00-3:00 (브레이크타임) 3:00-5:00 (저녁식사)5:00-9:00 라스트오더 8시
15,시카노이에,버터간장새우덮밥,경복궁역7번 출구에서688m,영업 중20:30에 라스트오더20시 30분에 라스트오더,단체 이용 가능 주차 무선 인터넷 남/녀 화장실 구분,(점심식사)11:00-3:00 (브레이크타임) 3:00-5:00 (저녁식사)5:00-9:00 라스트오더 8시
16,계동만담,계동만담 스페셜,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
17,계동만담,계동 회 모둠,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
18,계동만담,물회(대)+소면,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
19,계동만담,물회밥(점심),안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
20,계동만담,전복회덮밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
21,계동만담,만담초밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
22,계동만담,연어초밥/광어초밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
23,계동만담,생대구탕,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
24,계동만담,연어덮밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
25,계동만담,멍개비빔밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
26,계동만담,꼬막비빔밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
27,계동만담,회덮밥/청어알덮밥,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
28,계동만담,해물탕,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
29,계동만담,대구탕,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
30,계동만담,알탕,안국역3번 출구에서312m,영업 중22:00에 영업 종료22시 0분에 영업 종료,단체 이용 가능 포장 배달 예약,
31,규카츠정 대학로점,규카츠 타마고텐동 정식,혜화역4번 출구에서193m,영업 중20:30에 라스트오더20시 30분에 라스트오더,예약 무선 인터넷,일본 전통식 규카츠의 정통 요리법을 연구한 풍부한 육즙과 고소한 풍미 가득 담은 규카츠정의 맛 규카츠를 기본으로 본토에서 전수받은 온 사이드 디쉬를 통해 다양한 조합과 규카츠 본연의 맛을 최대한 즐길 수 있습니다.
32,규카츠정 대학로점,규카츠 점보정식,혜화역4번 출구에서193m,영업 중20:30에 라스트오더20시 30분에 라스트오더,예약 무선 인터넷,일본 전통식 규카츠의 정통 요리법을 연구한 풍부한 육즙과 고소한 풍미 가득 담은 규카츠정의 맛 규카츠를 기본으로 본토에서 전수받은 온 사이드 디쉬를 통해 다양한 조합과 규카츠 본연의 맛을 최대한 즐길 수 있습니다.
33,규카츠정 대학로점,규카츠 카레(매운/버터크림) 정식,혜화역4번 출구에서193m,영업 중20:30에 라스트오더20시 30분에 라스트오더,예약 무선 인터넷,일본 전통식 규카츠의 정통 요리법을 연구한 풍부한 육즙과 고소한 풍미 가득 담은 규카츠정의 맛 규카츠를 기본으로 본토에서 전수받은 온 사이드 디쉬를 통해 다양한 조합과 규카츠 본연의 맛을 최대한 즐길 수 있습니다.
34,규카츠정 대학로점,규카츠 정식,혜화역4번 출구에서193m,영업 중20:30에 라스트오더20시 30분에 라스트오더,예약 무선 인터넷,일본 전통식 규카츠의 정통 요리법을 연구한 풍부한 육즙과 고소한 풍미 가득 담은 규카츠정의 맛 규카츠를 기본으로 본토에서 전수받은 온 사이드 디쉬를 통해 다양한 조합과 규카츠 본연의 맛을 최대한 즐길 수 있습니다.
35,스시 마시따,한접시,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
36,스시 마시따,VIP초밥(16개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
37,스시 마시따,스페셜초밥(14개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
38,스시 마시따,특선초밥(12개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
39,스시 마시따,모듬초밥(10개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
40,스시 마시따,연어초밥(10개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
41,스시 마시따,꽃등심초밥(10개),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
42,스시 마시따,연어7+장어5,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
43,스시 마시따,연어7+꽃등심5,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
44,스시 마시따,마시따사시미+우동(소),혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
45,스시 마시따,연어사시미,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
46,스시 마시따,미니 사시미,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
47,스시 마시따,미니 연어사시미,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
48,스시 마시따,미니 광어사시미,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
49,스시 마시따,마시따롤,혜화역4번 출구에서94m,영업 중21:00에 영업 종료21시 0분에 영업 종료,단체 이용 가능 포장 무선 인터넷,매주 화요일 휴무
50,메종 아카이,아카이 멘츠 카레라이스,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
51,메종 아카이,아카이 야끼소바,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
52,메종 아카이,등심가츠동,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
53,메종 아카이,부타동(돼지덮밥),혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
54,메종 아카이,안심가츠동,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
55,메종 아카이,맑은아카이 샤브샤브(소고기 닭고기),혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
56,메종 아카이,얼큰아카이 샤브샤브(소고기 닭고기),혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
57,메종 아카이,메가 가츠동,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
58,메종 아카이,멘츠카츠동,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
59,메종 아카이,소다에이드.,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
60,메종 아카이,멜론소다,혜화역4번 출구에서149m,영업 중20:30에 라스트오더20시 30분에 라스트오더,무선 인터넷,붉은 집. 열정의 맛이 있는 공간을 표현한 강렬 한 이름. 붉은 색과 매칭하는 동백꽃. 그대를 누 구보다 사랑합니다란 꽃말을 품은 맹목적 ...
61,심야식당,차돌숙주 주먹밥,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
62,심야식당,문어숙회+부추무침,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
63,심야식당,스팸김치찌개,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
64,심야식당,명품 오뎅탕,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
65,심야식당,골뱅이소면,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
66,심야식당,해물볶음우동+주먹밥,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
67,심야식당,낙지볶음+소면,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
68,심야식당,오징어다리튀김+샐러드,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
69,심야식당,콩나물제육볶음 주먹밥,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
70,심야식당,날치알 계란말이샐러드,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
71,심야식당,쭈꾸미볶음 주먹밥,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
72,심야식당,순살치킨 가라아게,혜화역4번 출구에서206m,영업 중03:00에 영업 종료3시 0분에 영업 종료,단체 이용 가능 예약 무선 인터넷,연락처 010-3256-9570. (연중무휴) 2003년 홍대 오뎅바 두번째이야기 대학로 심야식당으로 업그 레이드 했습니다. 이름에 걸맞게 분위기좋...
